polarity,review
0.0,"I am desperate to get this implant out.
It has given me anxiety, loss of sex drive, mood changes, dizziness. I have also got acne from it and gained 3 stone on weight. My doctor persuaded me to keep it in last time I tried having it taken out.
So have had it in 2.5 years. I have an appointment for it to be taken out tomorrow. Never again!"
0.0,"The first time I got the Nexplanon implant I had severe mood swings and dangerous bouts of depression every day for 3 months. I was angry, every little thing set me off and I would emotionally breakdown and cry constantly for no discernible reason. It calmed down after a few months of absolute mental torture, but now I've had my implant replaced with a fresh Nexplanon the symptoms have come back with force. I wouldn't recommend this to anyone, especially those with depression/suicidal tendencies already. It just amplifies all of your negative and dangerous feelings. A terrible and mentally damaging product. 0/10z"
0.0,"I definitely agree with everyone here saying that Nexplanon has altered their moods and has affected them mentally as well. I have been on it for a year or so and holy moly has this been an emotional roller coaster for me. I already struggle with depression but has definitely increased with this and also has lead to more suicidal thoughts. I don’t feel like myself, mind is always foggy, and I constantly feel numb, wanting to push everyone away. This all couldn’t even be related to the implant but it has for sure gotten worse ever since I got it inserted. Did I also mention the weight gain that comes with it? I know it is different for everyone and studies can’t back up this evidence but I seriously believe it has something to do with the implant. I had lost weight easily before but now I find myself constantly craving more food and is harder for me to lose. This hasn’t been a good experience for me so far. I can’t wait to make an appointment to take it out ASAP."
0.0,"I had Nexplanon for for 6 months because a friend recommended it. I got it taken out four days ago. I struggle a little with anxiety and depression but they skyrocketed on Nexplanon. I had several bouts of crying that were so severe, I collapsed on my kitchen floor. One night, I was crying so hard for so many hours I thought that I would have to go to the hospital for psychiatric help. 
I struggled terribly with intrusive, obsessive thoughts. I was paranoid that my boyfriend was cheating on me or talking to other women and I couldn't get the thoughts out of my mind. (He's not doing any of those things and he's a good man whom I trust completely.) I just became obsessed and paranoid about various 'stories' that my mind was telling me. I was irritable and anxious and miserable. 
My sex drive was okay, certainly less than normal, but the vaginal dryness was surprising too. 
I can't wait until more forms of male birth control are approved because these methods for women are not helpful."
0.0,"I got nexplannon in 2020 at some point. I have always had anxiety but never this bad. it gets to the point where I feel like I'm going to pass out or as if nothing is real. My hair will not grow. I am soo moody and I start fights 24/7 with my fiancé. at first everything was fine but after a couple years I am ready to rip this out of my arm. I have an appointment in a couple days to get it out. Getting this was the worst decision ever and I don't recommend this to anyone. I have 
mood swings. 
fast heart beats 
feeling like nothing is real 
headaches 
tired 
tummy aces 
it is terrible. DO NOT GET ON THIS."
1.0,"Nexplanon was the first birth control I was on and overall it was a decent experience. I could've been a lot worse but could've been a little better. First of all, it did it's job-- I never got pregnant! As far as side effects.  I probably gained about 6 or 7 pounds but I expected that since I got it when I was 18 and my body was just changing. It made me feel bloated here and there but that's to be expected too. I'm also on anxiety medicine and I don't think it ever interfered with that at all. Sure I'd have days where my anxiety was worse than others but I don't think it was directly caused by Nexplanon. I also had some issues with acne here and there but nothing that I couldn't manage (again, I'm not sure if it's because of the Nexplanon). Now I will say... going off Nexplanon was a bit of a pain. It made me feel off for about a month, but I expected that as well. It's like going off of any kind of medicine...your body's gonna feel wonky for a while. Overall, not a bad experience."
0.0,"I had the nexplanon put in years ago and the whole 9 months I had it I had no period (yay). But I felt crazy, I couldn't control my moods and it was affecting my relationships, honestly I felt relieved just days after having it removed. Fast forward 4/5 years and I decided to try it again after having 2 kids in 2 years. I had it inserted Nov 2021, I had the most painful period I'd had in years 2 weeks after insertion as well as panic attacks (I haven't had panic attacks in at least 5 years!). Since about January (2 months after insertion) I just don't feel like myself anymore. My relationship is suffering even more so because i have completely lost my sex drive, I don't have as much patience as I normally do, I honestly feel like I'm going crazy, I haven't had it removed yet as I was waiting to see if maybe it was something else (health anxiety around covid etc maybe?). I've been trying to rule out other possible causes but after reading this forum I can say I believe it is the nexplanon."
0.0,"I just turned 15 when I got the nexplanon. I never wanted the implant but it was literally the only option my mom gave me, so I got it. I was on my period when I got it placed and my period didn’t go away. After I bled for 3 months I went back to the doctor and she gave me bc pills to take alongside the nexplanon. It stopped the bleeding but my doc wouldn’t let me stay on the pills. I started bleeding again and it didn’t stop. I started to notice I was having low blood sugars and feeling sick after I ate. I got the nexplanon taken out after being on it for 7 months and a month later I was diagnosed with type one diabetes (autoimmune disease). What’s crazy is the nexplanon can cause higher blood sugars and I told my doctor my family had a history of diabetes and other autoimmune diseases but she still put me on it without trying to show there was other options and/or non hormonal birth control options. The implant is very hit or miss. But personally I didn't like it."
1.0,"I’m not sure how to feel about it. It’s just my second month with it so I will maybe try it one more month.  Insertion was not bad! The numbing shot was painful- but after that it was easy. I bruise easily so had a bruise around it but after 2-3 weeks it was gone. Arm hurt for a couple days but was fine after that. 
I get nauseous every once in a while but not badly and maybe just once a week. I’ve been spotting on and off for almost two months now. Which is super annoying. If this doesn’t go away next month then I’ll just get it removed. 
The thing that bothers me right now is the anxiety!!! My mind is in hyperdrive. I’m super sensitive and irrational. I haven’t been able to sleep well. 
I’m having a follow up next month and if this doesn’t get better I’m taking it out. 
The nurse was really nice when I asked questions at insertion. She told me everyone reacts differently so to be aware of how it makes me feel and we can check back at the follow up."
0.0,Okay so I got nexplanon in back in November of 2021. Was tired of the pills I couldn’t remember to take them. December was fine I didn’t get my period was happy. (I only got my period once light spotting for 3 days) January was when symptoms started. I would have nausea after eating. I would have extreme anxiety over studying (which is normal usual but not extreme) this was heightened anxiety. February came and BAM! My symptoms got worse anxiety attacks about my health and a fixation on getting chronically ill. The paranoia around my health was absurd. Finally pieced it together when I went to a doctor who recognized my symptoms. Validated my feelings and reassured me. She fast tracked me to get this birth control out of me! I’m getting it out in 7 days and I’m literally counting the days. I only lasted 4 months. So please don’t get this birth control the mental health issues are not worth it.
