	review	pred_polarity	test_polarity	false_positives	false_negatives
6376	ive had skyla for almost two years and im very iffy on how i feel towards it the insertion wasnt bad just a big cramp my period used to be only a few days very heavy and i never had cramps with skyla i have light spotting that lasts twice as long with some pretty terrible cramps and nausea the week before i get the spotting i have extreme cravings and gain like five pounds and then lose it all right away from barely eating the week i spot i used to struggle with acne and now my skin is always clear my spouse is sometimes jabbed by the strings i didnt want something with a lot of hormones so i chose skyla over other forms of birth control but i feel like the cons may outweigh the pros for me	1	0	1	0
5467	"im currently still on yaz because my mother wont let me off 
of it im 18 and not using yaz for contraception but for depression and anxiety which i find horrendous that my doctor has kinda just gone quotyoure a female it must be your periodquot idiot 
however yaz was kind of working at the start everything has gone downhill and now in my 4th month of using it im thinking of stopping taking them against my doctor and mother because my periods irregular i drink a lot of water but im constipated daily i have funny discharge ive put on weight i have headaches and feel dizzy closer to my period i get sick and feel like vomiting and im not  happy these pills dont help me how theyre supposed to they just hurt me"	1	0	1	0
5459	im an army wife and the clinic here switched me too this birth control after 3 years of a different pill well after a couple months ive experienced longer periods a depleted sex drive and a harder to reach climax i am not happy since my husband just got back from iraq and we should be having the best sex right now 	1	0	1	0
7719	i wish i never took this pill im not a pill popping kind of person but i had to think about my future with my boyfriend and decided just to try one pill out this was the lowest dose so i figured it would be fine definitely not i havent been eating or motivated as much as i usually am im an emotional person but this pill turned me into a monster i have never been so sad in my entire life i had thoughts of harming myself and was constantly causing arguments with my boyfriend who ive been with for w year and a half and weve never had these problems it has given me horrible head aches and anxiety i would never suggest this to anyone	1	0	1	0
17989	i have been on and off several birth control medications for several years this is my first bad experience i was originally put on ortho tricyclen then ortho tricyclen lo then sprintec then something else but since i have been on trinessa i have yet to stop bleeding i started the first day of my period had my regular period for my usual 7 days and have had continued spotting heavily everyday since now going on my third week as far as birth control is concerned very effective since i havent been able to have sex since i started taking it not exactly my idea of great birth control 	1	0	1	0
2714	was put on this pill after i came off microgynon after 5 years as it made me insane ive been on loestrin for 3 months and will be changing as soon as i can i have been having the most severe nightmares on this pill and i am woken up every night in a tizz also my boobs have grown a cup size which is good but i have also gained weight and cant seem to shift it feel constantly fat also all my life i have had essentially perfect skin but since being on this pill my skin is constantly greasy which has resulted into spots on the plus side mood is generally good and no pregnancys but the nightmares are too big of a deal to carry on	1	0	1	0
11472	ive had nexplanon for 7 months and have been bleeding almost every day for 6 of those months the bleeding is light but enough to wear a tampon so its consistently annoying on the plus side once your body gets used to nexplanon you forget its in your arm and im also not pregnant which at the end of the day is its job i have 3 friends who tried nexplanon and it worked for 2 of them theyre both on their second ones before trying it be aware that some insurances will not pay for you to get it removed if you want it out before the 3 years is up so make sure you check with them in case it doesnt work i do think it was worth the try and would be willing to try it again in the future but it definitely is still quite flawed	1	0	1	0
1574	i got my implant in may 2016 4 of 7 girls i work with have the nexplanon i was the last to decide to get mine two say its perfect amp the other is having my same side effects ive enjoyed not having a period or super light spotting its working as far as not getting pregnant i have not enjoyed the side effects one bit since may ive gained 20lbs super emotional getting upset amp cryingangry for no real reason and never wanting to have sex ive been with the same amazing boyfriend for 3yrs ive never not wanted to have sex with him im a sexual person and i enjoy it now i could care less if we have sex we need to use lube sex drive is gone its taken a toll on my relationship for me its not worth it its coming out asap	1	0	1	0
8828	i just started taking it i am on the last row of my first pack i have been having a huge amount of brown or red dischargeblood i have had headaches nausea breast tenderness back acne everything i think its because im taking a lower dose of it like levonorgestrel 01 mg and ethinyl estradiol 002 mg so next time at the doctors i will get a high dose 	1	0	1	0
5925	i get a lot of breakthrough bleeding and not just spotting i was on lo seasonal and i should have just stayed on that but i was wanting more of a long term birth control my sex drive didnt go down but i feel as if im in a race with my body to see if i can have sex before i start bleeding again no weight gain or mood swings though ive actually lost 5 pounds	1	0	1	0
11850	i had the implanon implant for 3 years and loved it then i had that replaced with the nexplanon which is the same exact implant just more visible in xrays and stuff and i used it for a little over a year i had high hopes for this implant but the only good thing that came from it was not getting pregnant possibly because i barley wanted to have sex because i was on my period all the time i went to the doctor and she prescribed me a med to help regulate my periods and it still didnt help just beware if you get this kind you may have your period all the time or it may go away completely if your lucky to be one of those people i was not	1	0	1	0
12146	ive had the nexplanon in since december i got my period a week after and i still have my period and its almost may i feel hungry all the time and it has made me break out and left red little scars on my face because the breakouts were so bad in the beginning but they have calmed down now i have gained a little weight also other than that it has saved me from getting pregnant a few times but there are to many side effects	1	0	1	0
10989	i had the mirena inserted 6 weeks after giving birth to my 3rd baby in august 2011 i had also had it for a year after the birth of my 2nd baby inserting the mirena has never been a painful experience in either time i had it put in maybe because i had it put in after childbirth im not sure but i spotted off and on for 6 months same as the other time then my periods stopped completely for 8 months i had no side effects for my first year which was wonderful until oct 2012 i was spotting a little heavy for 2 weeks i started having cramps backaches nausea headaches i felt like i was pregnant which happened the first time i was on mirena i was too uncomfortable and had it removed today by the obgyn not using this method again	1	0	1	0
6173	at first i was pleased at how easy it was and that i didnt have to remember to take a pill then the side effects happened i now have cystic acne on my face and am having to spend loads of money to cure it because it has gotten so bad i also gained weight after being under 110 lbs my entire life i have no sex drive and my relationship has plummeted into the ground because of it i have insomnia and get very little sleep and i am also exhausted 247 i have no desire to do anything anymore unfortunately i couldnt see the doctor until january because of the holidays i cant wait to get it out	1	0	1	0
5100	i was on microgestin 1530 and then junel for years with absolutely no problems i had a regular period mild cramps and minimal pms since being put on gildless by my insurance my cramps are worse and the pms has been much more prominent i am really unhappy with this and am changing brands in hopes of a better outcome	1	0	1	0
1202	when i first started taking beyaz it was great i had no problems but towards the end of the cycle i had terrible attitude was very emotional nauseous and too many headaches once my period was gone it came back a day after and it was light to medium very bad cramps my appetite increased a lot more when i started but everyones body is different and would react different to the pills	1	0	1	0
17899	i started trinessa about 2 months ago while visiting familyvthe 1st day was seemingly perfect my period ended within hours of taking it then the 2nd day we went to the water park and i was attacked by a horrible bout of nausea i ended up vomiting at the water park then 2 more times later that afternoon i took it the next day and 4 more days following and threw up 3 times each day about 4 hours after taking the dosage i had no choice but to quit taking it i couldnt handle the nausea and ongoing sickness 	1	0	1	0
5284	im 18 and i got my implanon inserted about a month ago i got my period which was 45 days long it was very light and i had no pains this was great for me as i usually suffer with heavy very painful periods but the downside to this is i have been getting very emotional and moody lately im hoping this will wear off soon as it can get in the way of things but i still have a long way to go so hopefully it will all work out for the best	1	0	1	0
5576	"i got the bar in late last year i since put on 10kg in 6 months and had major mood swings i got all the pregnancy symptoms other than a belly i only just got it out about 2 weeks ago and i lost 3 kg in one week but now my body is messed up and isnt coping well i didnt get my period the whole duration and it still hasnt come i cannot control my mood swings 
about a month before i got it out i was experiencing anxiety and depression 
the bar impacts everyone individually but my experience was really bad 
my hormones are still trying to adjust 
over it"	1	0	1	0
5013	this is the first time being on birth control ive been on the pill for 3 months i am 52 and i was 130lbs before now im 150lbs i dont have mood swings and my sex drive is still pretty high and my skin looks amazing  overall the pill does its job	1	0	1	0
12858	ill start with the pros ive had nexplanon for almost 2 years and in terms of effectiveness its amazing it definitely does its job at preventing pregnancy i had pretty light periods to begin with so almost immediately after starting nexplanon my period went away completely i also dont ever have to worry about taking the pill like i had before which is great now for the cons since ive had nexplanon ive gained a lot of weight i started at 125 and am now 150 which is pretty significant i think my anxiety has also been off the charts crazy since the first day i got it in other than that id say the pros out weigh the cons but currently im looking into a nonhormonal option just to see if this was truly causing my weight gain	1	0	1	0
2325	my periods were for 7 or 8 days and i was moody and emotional and made my boyfriend insane  i think it made my hormones go crazy  i was mean and angry for a whole week  	1	0	1	0
8465	i have been using loestrin 24 fe for 7 months i love the fact that my periods are a lot lighter because lord knows i had the longest most painful periods ever my breasts have grown a whole cup size and they feel as though they might keep growing i love the weight in my breasts but i have gained 5 pounds and i eat the same if not better than before i got on the pill and i exercise just as much so im considering stopping the pill and switching to another method of birth control because weight gain and me do not mix well i have had a large amount of spot bleeding it has decreased as the months have gone on other than the weight gain this pill has been my best fiend so if it doesnt seem to make you gain weight i would say it is the best	1	0	1	0
6880	lasted 75mo started july 2015 first couple months spotted every couple of days and spotty acne started period was normal for sept but then was nonstop for all four weeks of oct serious acne formed into rough patches all over my face my hair thinned out to maybe half thickness doctor said this is all still normal because its the first time in 13 years im without a daily estrogen dose so its normal to have pregnancylike symptoms normal period in nov two week period in december skin improving after help from dermatologist january i had three separate instances of facial abscesses as in dimesized open infections on my face also my january period lasted for 6 weeks until i had it removed in february awful cramps too	1	0	1	0
98	"after 2 months on the generic form of this pill my doctor suggested i move to loestrin it seemed pretty awesome because for the 3 months i was on it i had no periods or cramps i did experience weight gain breast tenderness major mood swings loss of libido and slight increase in acne personally i loved not having periods it was cool and it saved me money on tampons but the lack of sex drive was enough to convince me and my doctor that this wasnt the birth control for me ive switched to ortho tricyclen and lost the 7 pounds i had gained in the 3 months i was on loestrin im cramping and having periods again but my sex drive is back at a decent level and my emotions are better in check 

dont be afraid to switch birth controls"	1	0	1	0
5128	its a great birth control but only because i have had a heavy period that my doctor is prescribing me birth control pills for so i am not having any sex with my husband no one told me i wouldnt stop having a period	1	0	1	0
196	was on seasonique for a couple years it worked extremely well hardly any breakthrough bleeding camrese started out okay but within a couple months the bleeding began and would not stop i had consistent spotting for months i am now just coming off this pill and have started with a new one hope this one stops the bleeding	1	0	1	0
11423	"i had nexplanon for 45 years my first one was great aside from hurting when they put it in and skin sensitivity at the insertion point for about a month it was great birth control its more effective than tubal ligation and you dont have to remember to take any pills you cant get baby fever and decide to stop taking birth control its temporarily permanent

i had the first implant removed at 3 years and had my 2nd one inserted it was placed deeper in my arm than the first one no skin sensitivity but from insertion i had so many side effects with the second one weight gain periods that would last 10 days every 46 weeks random brown spotting mood swings hormonal acne got it removed hallelujah"	1	0	1	0
14237	"hi everyone just wanted to share my 8 months experience with nuvaring
first i was really happy  it helps with my heavy and painful periods for sure
unfortunately my libido went to zero and even if i took the ring out intercourse was really painfullike sharp razor blades
also suffered from horrible migraines almost everyday be careful when you use 1 combines hormones
my neurologist who i saw for my chronics migraines suggest me to take off the ring and see if my migraine will get better
after one week i notice a dramatic change
no more migraines that was ruin my life and great no painful intercoursegot my libido back lol
so in general i was not satisfied with nuvaring had more bad side effects than positive"	1	0	1	0
2595	i took another type of microgestion fe which worked great but when i switched to blisovi fe i started to get horrible hives i didnt think it could be the birthvcontrol since i had been taken it over a year but the dermatologist said my hives looked like a drug reaction so i went off blisovi and my hives went away blisovi has an inactive ingredient that can cause allergic reactions	1	0	1	0
3179	i have been using this pill for 3 years i feel this pill helped clear up my acne i have lighter periods and my cramps are not as bad i would recommend this pill for anyone who has a heavy flow and really bad cramps now my period only lasts a few days and hardly any paini do however get really emotional and moody and have a decreased sex drive im thinking about getting off of it because of my mood swings hope this helps	1	0	1	0
578	for 6 months i was on the heather tablet  made by glenmark doing pretty much fine and not noticing any significant side effects however when after 6 months i needed to refill my prescription and the pharmacy was out of the heather tablet i let them give me what they had jencycla made by lupin figuring all minipills were the same within a few days i noticed significant changes in my mood like collapsing into tears at the slightest provocation and getting angry at and suspicious with my boyfriend for stupid reasons after a couple weeks i started acting crazy and being totally irrational and full of rage and couldnt control my behavior or moods has anyone else experienced such mood swings from changing minipill brands	1	0	1	0
6178	ive had the implanon in for 2 weeks and i dont like it  i love not having to take the pill but my mood swings are crazy  i have 2 kids ages 2 and 8 months and i find myself snapping at them and having less patience  i am constantly apologizing to my husband for being a raving lunatic and i got a period  i havent had a period in 5 months previously while i was on norabe and now i have a period  its been light but never the less annoying  i think im going to have it taken out  i dont like these mood swings one bit  i feel like i have road rage all of the time	1	0	1	0
6128	well my experience with implanon i thought was going to be wonderful the only thing wonderful is that i cant get pregnant besides that i bleed for almost two weeks with blood lots and all but now i bleed regular with occasional spotting but my mood swings are ridiculous ive gained some extra pounds and my eating habit has been the same everyones body is different for some people this is right but not for me	1	0	1	0
16703	i got skyla on august 23 the doctor gave me ibuprofen about 10 mintues before so she went in with 1 swab of numbing cream and 2 shots it took her awhile to insert it because i wasnt dilated all the way it didnt hurt that bad during the procedure when the procedure was done they had me lay on my side and i was turning pale and cramping alot afterwards i asked if i could get up and go to the restroom so i got up and the doctor asked if i was okay i said no i feel like im going to faint next thing i know im on the ground with the doctor beside me when i came back into the room a laid down somemore until my mom got in the room i was begging to leave that instant but they wouldnt let me go because the cramps were so bad i couldnt go to school for the rest of the day its september 22 and ive been cramping and bleeding everyday since ive been hot all the time and ive been eating more than usual	1	0	1	0
